Proof,Uncompressed.length,Uncompressed.coreSize,Uncompressed.height,Uncompressed.space,Uncompressed.time,Uncompressed.transLength,PCNewNew.length,PCNewNew.coreSize,PCNewNew.height,PCNewNew.space,PCNewNew.time,PCNewNew.transLength,FCNewNew.length,FCNewNew.coreSize,FCNewNew.height,FCNewNew.space,FCNewNew.time,FCNewNew.transLength,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/loops6/iso_icl024,4316,744,440,443,1266,4922,4284,858,445,422,9043,4778,4254,844,445,421,11333,4734,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/loops6/gensys_icl002,18515,1192,1028,797,1789,19723,18077,1303,1034,847,21443,19015,18085,1307,1034,847,29351,19019,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/loops6/gensys_icl057,307721,5402,6999,4522,152810,315141,299548,6772,7002,5154,1556923,306222,299489,6766,6999,5154,2016856,306015,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/loops6/iso_icl001,2214,376,321,223,460,3094,2138,474,320,210,1510,2680,2080,458,320,209,1880,2586,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/loops6/gensys_icl102,215766,3206,5017,2802,127126,218162,207146,3643,4993,3342,1057245,208920,207012,3631,4993,3341,1329668,208722,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/loops6/dead_dnd011,66824,2145,1806,1764,14596,69404,65512,2707,1811,1848,184747,67692,65477,2706,1811,1847,254770,67629,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/loops6/iso_brn078,3687,674,456,352,1432,4405,3758,857,462,333,11507,4272,3698,829,462,333,15367,4206,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/loops6/iso_icl100,2511,485,295,240,641,2939,2551,581,301,231,1431,2863,2493,569,276,229,1663,2793,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/loops6/iso_icl088,5382,941,760,632,2395,6114,5463,1109,766,610,15925,6043,5408,1082,766,610,19977,5946,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/loops6/gensys_icl085,102345,3168,1911,2594,36397,104973,97927,3847,1890,2813,317103,99989,97835,3825,1886,2813,409407,99867,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/loops6/iso_icl066,3074,650,530,307,1112,3522,3117,754,536,293,3557,3487,3102,748,536,292,4197,3476,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/loops6/iso_brn049,4201,803,675,396,1060,4993,4225,969,680,384,4514,4737,4166,945,680,383,5541,4674,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/loops6/gensys_icl086,467232,5732,6856,4859,247817,478378,449868,7970,6754,5975,2776628,459808,449232,8002,6711,5961,3597070,458876,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/loops6/iso_icl078,2736,581,491,350,2683,2968,2757,636,497,342,9472,2915,2735,628,496,342,10895,2885,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/loops6/iso_icl053,8206,1005,686,581,1240,10182,8483,1420,692,547,14008,10065,8387,1376,692,547,18185,9975,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/loops6/iso_icl062,5119,988,730,542,1931,5523,5141,1075,736,521,10554,5523,5136,1072,736,520,12955,5510,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/loops6/gensys_icl038,51647,2379,2127,1803,23687,53851,50681,2869,2115,1819,184144,52325,50599,2854,2115,1817,239726,52229,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/loops6/iso_icl058,7412,1334,747,859,4133,7804,7229,1370,715,805,18341,7561,7225,1368,715,805,22463,7557,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/loops6/iso_icl034,9074,1343,839,911,2061,9446,9010,1390,843,896,13055,9368,9009,1390,843,896,16389,9359,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/loops6/gensys_icl061,128628,3065,3619,2569,48781,130742,125609,3549,3611,2866,409278,127133,125597,3545,3611,2866,522605,127087,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/loops6/iso_icl042,1962,388,275,270,495,2410,1992,513,280,247,2051,2282,1935,484,280,247,2900,2217,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/loops6/iso_icl096,12641,1587,1792,763,4255,14741,12741,2012,1794,729,35338,14405,12604,1956,1787,727,44532,14244,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/loops6/iso_icl031,5008,801,597,572,2815,5816,5031,974,602,556,21383,5501,4957,940,602,556,27063,5429,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/loops6/gensys_brn105,192015,6362,5335,4093,57807,207067,189956,8410,5332,4268,855844,204022,189538,8433,5323,4264,1143888,203284,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/loops6/dead_dnd001,35143,1559,1144,1200,5815,42395,34541,2149,1150,1212,70709,40849,34504,2130,1150,1208,94394,40794,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/loops6/gensys_icl033,171552,3579,5837,3247,86883,178232,168162,4793,5840,3528,891852,173870,167803,4804,5835,3532,1121214,173277,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/loops6/gensys_icl047,231583,4019,3893,3003,54099,243293,223448,5975,3839,3464,1096537,233890,223176,5974,3836,3460,1453101,233396,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/loops6/iso_brn044,3764,746,547,405,844,4720,3850,946,553,392,10820,4548,3805,922,553,391,14147,4489,
