original, proofTree, origSize, pTsize 
19,19, 24, 15
17,17, 18, 13
18,18, 15, 11
19,19, 11, 9
16,16, 5, 5
17,16, 62, 33
18,16, 55, 33
18,16, 51, 31
19,17, 48, 29
19,17, 46, 27
20,18, 44, 25
21,19, 42, 23
19,17, 37, 19
20,17, 34, 19
21,19, 31, 15
18,16, 25, 13
17,15, 23, 11
14,12, 17, 9
9,8, 11, 7
9,9, 9, 7
9,9, 5, 5
7,7, 1, 1
7,7, 26, 23
8,8, 24, 21
9,9, 22, 19
10,10, 19, 17
9,9, 17, 15
8,8, 11, 9
8,8, 9, 7
8,8, 5, 5
7,7, 1, 1
3,3, 5, 5
3,3, 3, 3
2,2, 1, 1
16,16, 49, 39
17,17, 46, 35
18,18, 44, 33
19,19, 42, 31
19,19, 40, 29
19,19, 37, 27
19,19, 33, 25
20,19, 30, 25
21,21, 26, 21
20,20, 24, 19
18,18, 18, 13
19,19, 15, 11
20,20, 11, 9
17,17, 5, 5
10,10, 1, 1
8,8, 3, 3
8,8, 1, 1
19,17, 74, 69
20,17, 67, 69
20,17, 64, 65
20,17, 61, 57
18,15, 55, 49
18,15, 51, 45
19,15, 48, 45
19,15, 43, 45
20,16, 41, 43
21,16, 39, 43
22,18, 37, 39
15,13, 31, 23
16,13, 28, 23
17,15, 25, 19
16,14, 23, 15
13,11, 17, 9
14,9, 11, 17
14,11, 9, 9
14,14, 5, 5
7,7, 3, 3
7,7, 1, 1
18,17, 74, 67
19,17, 67, 67
19,17, 64, 63
19,17, 61, 55
17,15, 55, 47
17,15, 51, 43
18,15, 48, 43
18,15, 43, 43
19,15, 41, 43
20,17, 39, 39
21,18, 37, 37
14,13, 31, 21
15,13, 28, 21
16,15, 25, 13
15,14, 23, 11
12,11, 17, 9
13,9, 11, 17
14,11, 9, 9
14,14, 5, 5
8,8, 3, 3
8,8, 1, 1
7,7, 5, 3
7,7, 1, 1
1,1, 3, 1
2,1, 1, 1
1,1, 3, 1
2,1, 1, 1
8,6, 5, 7
9,6, 3, 7
2,1, 1, 1
8,6, 1, 5
19,18, 62, 39
20,18, 55, 39
20,18, 51, 37
21,19, 48, 35
22,20, 46, 33
22,20, 44, 31
23,21, 42, 29
21,19, 37, 25
22,19, 34, 25
23,21, 31, 21
20,18, 25, 17
19,17, 23, 15
16,14, 17, 9
11,10, 11, 7
11,11, 9, 7
11,11, 5, 5
8,8, 1, 1
14,14, 49, 33
15,15, 46, 29
16,16, 44, 27
17,17, 42, 25
17,17, 40, 23
17,17, 37, 21
17,17, 33, 19
18,17, 30, 19
19,17, 26, 19
18,18, 24, 15
16,16, 18, 13
17,17, 15, 11
18,18, 11, 9
15,15, 5, 5
9,9, 1, 1
1,1, 3, 1
15,15, 49, 35
16,16, 46, 33
17,17, 44, 31
18,18, 42, 29
18,18, 39, 27
18,18, 37, 25
18,18, 33, 23
19,18, 30, 23
20,18, 26, 23
19,19, 24, 19
17,17, 18, 13
18,18, 15, 11
19,19, 11, 9
16,16, 5, 5
7,7, 3, 3
7,7, 1, 1
1,1, 3, 1
9,9, 17, 11
10,10, 13, 9
11,11, 9, 7
10,10, 7, 5
9,9, 1, 1
11,10, 40, 15
12,10, 33, 15
12,10, 29, 13
10,8, 23, 9
11,8, 20, 9
12,10, 17, 5
13,11, 13, 5
8,7, 7, 3
8,8, 5, 3
8,8, 1, 1
7,7, 5, 3
7,7, 1, 1
6,6, 22, 5
7,6, 15, 5
8,7, 11, 5
8,7, 7, 3
8,8, 5, 3
8,8, 1, 1
16,14, 46, 27
16,14, 43, 25
17,15, 42, 21
17,15, 39, 19
18,14, 35, 19
19,17, 31, 15
20,17, 28, 15
17,16, 23, 11
17,17, 18, 11
17,17, 14, 9
18,18, 10, 7
16,16, 5, 3
16,16, 1, 1
3,3, 5, 3
1,1, 3, 1
2,1, 1, 1
1,1, 3, 1
2,1, 1, 1
1,1, 3, 1
2,1, 1, 1
3,3, 5, 3
1,1, 3, 1
2,1, 1, 1
4,4, 5, 3
1,1, 3, 1
2,1, 1, 1
2,2, 1, 1
8,7, 20, 11
8,7, 17, 7
8,7, 13, 5
9,7, 10, 5
9,7, 5, 5
9,9, 1, 1
8,7, 19, 7
8,7, 15, 7
8,7, 12, 5
8,8, 7, 5
7,7, 1, 1
1,1, 3, 1
2,1, 1, 1
2,2, 3, 3
2,2, 1, 1
14,11, 40, 19
14,11, 37, 17
14,11, 34, 15
14,11, 31, 11
14,11, 27, 9
15,11, 24, 9
15,11, 19, 9
14,13, 14, 7
14,13, 10, 5
15,13, 7, 5
13,13, 1, 1
3,3, 5, 3
4,3, 3, 3
2,1, 1, 1
4,4, 5, 3
1,1, 3, 1
2,1, 1, 1
4,4, 5, 3
1,1, 3, 1
2,1, 1, 1
1,1, 3, 1
2,1, 1, 1
1,1, 3, 1
2,1, 1, 1
7,7, 26, 23
8,8, 24, 21
9,9, 22, 19
10,10, 19, 17
9,9, 17, 15
8,8, 11, 9
8,8, 9, 7
8,8, 5, 5
7,7, 1, 1
3,3, 5, 5
3,3, 3, 3
2,2, 1, 1
13,12, 60, 25
14,12, 58, 25
15,12, 51, 25
15,12, 48, 25
16,13, 45, 23
16,13, 43, 21
17,14, 41, 19
18,15, 39, 17
19,16, 36, 15
19,17, 31, 15
16,14, 25, 13
15,13, 23, 11
12,10, 17, 9
10,9, 11, 7
10,10, 9, 7
10,10, 5, 5
7,7, 1, 1
4,4, 3, 3
4,4, 1, 1
5,5, 5, 5
3,3, 3, 3
2,2, 1, 1
10,10, 26, 19
11,11, 24, 17
12,12, 22, 15
13,13, 20, 13
14,13, 17, 11
13,12, 15, 9
10,10, 9, 7
10,10, 5, 5
6,6, 1, 1
5,5, 3, 3
5,5, 1, 1
5,5, 5, 5
3,3, 3, 3
2,2, 1, 1
16,15, 53, 37
17,16, 50, 35
18,17, 48, 33
19,18, 46, 31
19,18, 43, 29
19,18, 41, 27
20,19, 38, 23
20,19, 35, 21
21,19, 32, 21
21,21, 26, 17
20,20, 24, 15
18,18, 18, 13
19,19, 15, 11
20,20, 11, 9
17,17, 5, 5
9,9, 1, 1
9,9, 3, 3
9,9, 1, 1
4,4, 5, 5
3,3, 3, 3
2,2, 1, 1
2,2, 1, 1
16,14, 72, 53
17,14, 70, 53
18,14, 63, 53
18,14, 59, 53
18,15, 54, 53
17,14, 48, 45
18,15, 46, 43
19,15, 44, 43
20,17, 42, 39
20,17, 39, 31
17,14, 33, 23
18,14, 30, 23
18,16, 25, 19
17,15, 23, 15
14,12, 17, 9
15,10, 11, 17
15,12, 9, 9
15,15, 5, 5
8,8, 1, 1
8,8, 3, 3
8,8, 1, 1
23,22, 77, 65
24,23, 74, 63
24,23, 71, 61
25,23, 69, 65
26,24, 67, 63
27,25, 65, 61
28,26, 63, 59
25,24, 57, 49
26,24, 54, 49
27,26, 51, 45
28,27, 48, 39
29,28, 45, 31
29,28, 42, 27
29,28, 39, 25
30,28, 36, 25
30,30, 30, 21
29,29, 28, 19
26,26, 22, 17
20,20, 16, 13
18,18, 11, 9
18,18, 9, 7
18,18, 5, 5
10,10, 1, 1
9,9, 3, 3
9,9, 1, 1
3,3, 5, 3
1,1, 3, 1
2,1, 1, 1
7,7, 5, 3
8,7, 3, 3
2,1, 1, 1
7,7, 1, 1
5,5, 5, 5
3,3, 3, 3
2,2, 1, 1
4,4, 5, 3
1,1, 3, 1
2,1, 1, 1
17,17, 60, 33
18,17, 53, 33
18,17, 49, 33
19,18, 47, 33
20,19, 46, 29
20,19, 44, 27
21,20, 42, 25
22,20, 39, 23
23,21, 36, 21
23,22, 31, 21
22,21, 25, 17
21,20, 23, 15
17,17, 17, 13
13,13, 13, 9
12,12, 7, 5
12,12, 5, 5
8,8, 1, 1
6,6, 5, 5
4,4, 3, 3
2,2, 1, 1
3,3, 1, 1
15,14, 60, 31
16,14, 58, 31
17,14, 51, 31
17,14, 48, 31
18,15, 45, 29
19,16, 43, 27
19,16, 41, 25
20,17, 39, 23
21,18, 36, 21
21,19, 31, 21
18,16, 25, 17
17,15, 23, 15
14,12, 17, 9
12,11, 11, 7
12,12, 9, 7
12,12, 5, 5
8,8, 1, 1
5,5, 3, 3
5,5, 1, 1
5,5, 5, 5
4,4, 3, 3
2,2, 1, 1
4,4, 5, 3
1,1, 3, 1
2,1, 1, 1
4,4, 1, 1
16,15, 53, 39
17,16, 50, 37
18,17, 48, 35
19,18, 46, 33
19,18, 43, 31
19,18, 41, 29
20,19, 38, 25
20,19, 35, 23
21,19, 32, 23
21,19, 26, 23
20,20, 24, 19
18,18, 18, 13
19,19, 15, 11
20,20, 11, 9
17,17, 5, 5
10,10, 1, 1
8,8, 3, 3
8,8, 1, 1
4,4, 5, 5
3,3, 3, 3
2,2, 1, 1
2,2, 1, 1
4,4, 5, 3
5,4, 3, 3
2,1, 1, 1
1,1, 3, 1
2,1, 1, 1
1,1, 3, 1
2,1, 1, 1
15,14, 72, 51
16,14, 70, 51
17,14, 63, 51
17,14, 59, 51
17,15, 54, 51
16,14, 48, 43
17,14, 46, 43
18,16, 44, 39
19,17, 42, 37
19,17, 39, 29
16,14, 33, 21
17,14, 30, 21
17,16, 25, 13
16,15, 23, 11
13,12, 17, 9
14,10, 11, 17
15,12, 9, 9
15,15, 5, 5
7,7, 1, 1
9,9, 3, 3
9,9, 1, 1
1,1, 3, 1
2,1, 1, 1
2,2, 1, 1
8,8, 5, 3
1,1, 3, 1
2,1, 1, 1
8,8, 1, 1
4,4, 5, 3
1,1, 3, 1
2,1, 1, 1
1,1, 3, 1
2,1, 1, 1
4,4, 5, 3
5,4, 3, 3
2,1, 1, 1
4,4, 1, 1
16,14, 46, 31
17,15, 43, 27
17,15, 41, 25
17,15, 38, 23
17,15, 35, 21
17,15, 32, 17
14,12, 26, 13
15,12, 23, 13
15,14, 18, 9
14,14, 13, 7
14,14, 9, 5
14,14, 5, 3
14,14, 1, 1
1,1, 3, 1
2,1, 1, 1
13,11, 36, 17
13,11, 32, 15
13,11, 29, 11
13,11, 25, 9
14,11, 22, 9
14,11, 17, 9
13,13, 12, 7
13,13, 8, 5
13,13, 5, 3
13,13, 1, 1
16,13, 59, 19
17,13, 52, 19
18,14, 49, 17
19,15, 46, 15
19,15, 42, 15
19,15, 39, 11
19,15, 35, 9
20,15, 32, 9
