Proof,Uncompressed.length,Uncompressed.coreSize,Uncompressed.height,Uncompressed.space,Uncompressed.time,Uncompressed.transLength,FCNew.length,FCNew.coreSize,FCNew.height,FCNew.space,FCNew.time,FCNew.transLength,ACNew.length,ACNew.coreSize,ACNew.height,ACNew.space,ACNew.time,ACNew.transLength,PCNew.length,PCNew.coreSize,PCNew.height,PCNew.space,PCNew.time,PCNew.transLength,FCNewNew.length,FCNewNew.coreSize,FCNewNew.height,FCNewNew.space,FCNewNew.time,FCNewNew.transLength,ACNewNew.length,ACNewNew.coreSize,ACNewNew.height,ACNewNew.space,ACNewNew.time,ACNewNew.transLength,PCNewNew.length,PCNewNew.coreSize,PCNewNew.height,PCNewNew.space,PCNewNew.time,PCNewNew.transLength,
F:/Proofs/QF_UF/SEQ/SEQ019_size5,952,193,52,83,503,1380,952,193,52,83,196,1380,952,193,52,83,190,1380,952,193,52,83,177,1380,952,193,52,83,446,1380,952,193,52,83,447,1380,952,193,52,83,192,1380,
F:/Proofs/QF_UF/SEQ/SEQ020_size2,126,25,32,19,173,126,126,25,32,19,71,126,126,25,32,19,69,126,126,25,32,19,69,126,126,25,32,19,70,126,126,25,32,19,70,126,126,25,32,19,71,126,
F:/Proofs/QF_UF/SEQ/SEQ020_size3,496,82,64,75,925,496,465,82,64,63,566,465,465,82,64,63,567,465,465,82,64,63,566,465,465,82,64,63,571,465,465,82,64,63,569,465,465,82,64,63,565,465,
F:/Proofs/QF_UF/SEQ/SEQ026_size4,11105,1162,257,376,21584,17713,11207,1319,266,378,3016,18499,11207,1319,266,378,2936,18499,11126,1177,260,378,2670,17816,11096,1162,257,376,19917,17704,11096,1162,257,376,20014,17704,11119,1173,258,377,2783,17851,
F:/Proofs/QF_UF/SEQ/SEQ026_size5,24988,2595,353,787,125266,41066,25392,2924,364,797,7517,42492,25392,2924,364,797,7338,42492,24971,2606,355,790,6819,41049,24968,2595,353,788,50597,41046,24968,2595,353,788,50459,41046,24973,2607,354,789,7149,41105,
F:/Proofs/QF_UF/SEQ/SEQ032_size3,5401,667,180,248,2444,8811,5510,794,183,247,912,9186,5510,794,183,247,874,9186,5392,693,183,249,664,8830,5391,667,180,248,4126,8801,5391,667,180,248,4120,8801,5381,684,182,248,738,8799,
F:/Proofs/QF_UF/SEQ/SEQ035_size4,25526,3313,288,1138,21402,30938,25550,3417,292,1146,3481,30994,25550,3417,292,1146,3266,30994,25455,3371,292,1147,2622,30917,25341,3313,288,1143,19354,30753,25341,3313,288,1143,19350,30753,25447,3367,292,1147,3054,30913,
F:/Proofs/QF_UF/SEQ/SEQ042_size2,451,80,52,62,141,669,507,108,61,64,50,835,507,108,61,64,48,835,451,80,52,62,35,669,451,80,52,62,118,669,451,80,52,62,116,669,451,80,52,62,42,669,
F:/Proofs/QF_UF/SEQ/SEQ042_size3,3723,439,235,204,1101,6045,4111,648,241,210,645,6919,4098,642,241,210,592,6894,3731,462,236,208,374,6025,3717,439,235,205,2265,6039,3717,439,235,205,2267,6039,3710,448,235,207,415,5994,
F:/Proofs/QF_UF/SEQ/SEQ050_size2,442,60,53,44,131,624,452,65,54,45,37,646,452,65,54,45,36,646,442,60,53,44,33,624,442,60,53,44,134,624,442,60,53,44,136,624,442,60,53,44,38,624,
F:/Proofs/QF_UF/SEQ/SEQ050_size3,2325,305,121,142,561,3687,2399,345,123,147,222,3807,2399,345,123,147,212,3807,2319,305,122,147,177,3677,2321,305,121,145,690,3683,2321,305,121,145,690,3683,2316,303,121,146,201,3674,
F:/Proofs/QF_UF/SEQ/SEQ032_size2,465,105,53,48,115,719,501,128,58,51,67,775,501,128,58,51,62,775,475,111,54,48,40,727,463,105,53,47,154,717,463,105,53,47,154,717,475,111,54,48,50,733,
F:/Proofs/QF_UF/SEQ/SEQ032_size3,5401,667,180,248,2449,8811,5510,794,183,247,908,9186,5510,794,183,247,870,9186,5392,693,183,249,660,8830,5391,667,180,248,4125,8801,5391,667,180,248,4124,8801,5381,684,182,248,735,8799,
F:/Proofs/QF_UF/SEQ/SEQ035_size4,25526,3313,288,1138,21301,30938,25550,3417,292,1146,3482,30994,25550,3417,292,1146,3265,30994,25455,3371,292,1147,2623,30917,25341,3313,288,1143,19472,30753,25341,3313,288,1143,19365,30753,25447,3367,292,1147,3052,30913,
