Proof,Uncompressed.length,Uncompressed.coreSize,Uncompressed.height,Uncompressed.space,Uncompressed.time,Uncompressed.transLength,FCNew.length,FCNew.coreSize,FCNew.height,FCNew.space,FCNew.time,FCNew.transLength,ACNew.length,ACNew.coreSize,ACNew.height,ACNew.space,ACNew.time,ACNew.transLength,PCNew.length,PCNew.coreSize,PCNew.height,PCNew.space,PCNew.time,PCNew.transLength,FCNewNew.length,FCNewNew.coreSize,FCNewNew.height,FCNewNew.space,FCNewNew.time,FCNewNew.transLength,ACNewNew.length,ACNewNew.coreSize,ACNewNew.height,ACNewNew.space,ACNewNew.time,ACNewNew.transLength,PCNewNew.length,PCNewNew.coreSize,PCNewNew.height,PCNewNew.space,PCNewNew.time,PCNewNew.transLength,
F:/Proofs/QF_UF/SEQ/SEQ004_size5,253,26,40,26,1197,253,253,26,40,26,933,253,253,26,40,26,503,253,253,26,40,26,448,253,253,26,40,26,425,253,253,26,40,26,396,253,253,26,40,26,399,253,
F:/Proofs/QF_UF/SEQ/SEQ004_size6,996,48,88,99,1106,996,996,48,88,99,1313,996,996,48,88,99,1237,996,996,48,88,99,1234,996,996,48,88,99,1257,996,996,48,88,99,1293,996,996,48,88,99,1231,996,
F:/Proofs/QF_UF/SEQ/SEQ005_size6,4597,698,142,318,2453,7259,4096,1142,136,194,13119,6772,4079,1138,136,194,9583,6711,3848,1042,137,195,3837,6174,4596,698,142,318,2989,7258,4596,698,142,318,2875,7258,3809,1024,137,195,4588,6111,
F:/Proofs/QF_UF/SEQ/SEQ005_size7,1038,233,76,83,1088,1490,973,272,85,61,1042,1387,956,264,82,58,925,1352,913,243,81,58,787,1285,1035,233,76,83,771,1487,1035,233,76,83,753,1487,913,243,81,58,861,1285,
F:/Proofs/QF_UF/SEQ/SEQ009_size7,224,35,33,13,138,224,224,35,33,13,38,224,224,35,33,13,38,224,224,35,33,13,37,224,224,35,33,13,39,224,224,35,33,13,36,224,224,35,33,13,38,224,
F:/Proofs/QF_UF/SEQ/SEQ009_size8,365,56,35,28,274,425,362,63,38,25,150,414,362,63,38,25,129,414,362,63,38,25,90,414,365,56,35,28,90,425,365,56,35,28,86,425,362,63,38,25,103,414,
F:/Proofs/QF_UF/SEQ/SEQ009_size9,358,54,50,15,255,358,358,54,50,15,82,358,358,54,50,15,83,358,358,54,50,15,79,358,358,54,50,15,79,358,358,54,50,15,80,358,358,54,50,15,82,358,
F:/Proofs/QF_UF/SEQ/SEQ010_size6,3473,480,142,232,2356,5211,3026,868,104,139,16588,4840,3019,865,104,139,13200,4827,3612,1145,109,158,5007,5860,3473,480,142,232,2779,5211,3473,480,142,232,2787,5211,3612,1145,109,158,5946,5860,
F:/Proofs/QF_UF/SEQ/SEQ010_size7,1836,347,87,158,990,2708,1778,461,95,121,2307,2666,1778,461,95,121,1855,2666,1807,479,92,119,977,2705,1836,347,87,158,821,2708,1836,347,87,158,825,2708,1807,479,92,119,1191,2705,
F:/Proofs/QF_UF/SEQ/SEQ010_size8,28265,2886,336,1161,39609,44545,26806,6717,326,708,104316,44214,26785,6708,326,708,82325,44169,27628,7209,316,753,31671,44590,28246,2886,336,1160,21622,44526,28246,2886,336,1160,21818,44526,27491,7132,316,755,39908,44313,
F:/Proofs/QF_UF/SEQ/SEQ010_size9,35191,3291,348,1435,71556,53093,32272,7348,339,898,161011,52302,32235,7332,339,895,127508,52261,33067,7797,328,949,44952,52951,35144,3291,348,1433,30154,53046,35144,3291,348,1433,30191,53046,32878,7713,327,934,58447,52452,
F:/Proofs/QF_UF/SEQ/SEQ011_size2,112,23,23,13,161,112,112,23,23,13,65,112,112,23,23,13,61,112,112,23,23,13,60,112,112,23,23,13,61,112,112,23,23,13,60,112,112,23,23,13,61,112,
F:/Proofs/QF_UF/SEQ/SEQ011_size3,635,95,73,82,834,635,630,95,73,82,523,630,630,95,73,82,529,630,630,95,73,82,517,630,630,95,73,82,523,630,630,95,73,82,528,630,630,95,73,82,522,630,
F:/Proofs/QF_UF/SEQ/SEQ013_size4,9796,599,141,360,6036,11896,7495,1759,123,193,60424,10663,7495,1759,123,193,45873,10663,8977,2433,128,226,14701,13467,9792,599,141,358,7853,11892,9792,599,141,358,7878,11892,8986,2436,128,227,18191,13476,
F:/Proofs/QF_UF/SEQ/SEQ013_size5,22501,1256,234,559,23476,27053,17479,3887,243,338,126091,24549,17479,3887,243,338,95839,24549,20319,5194,234,398,32256,29803,22471,1256,234,559,18220,27023,22471,1256,234,559,18240,27023,20285,5175,234,400,40015,29741,
F:/Proofs/QF_UF/SEQ/SEQ015_size2,803,159,80,80,253,1151,727,266,63,44,4622,1101,727,266,63,44,4030,1101,715,265,51,40,1085,1043,803,159,80,80,646,1151,803,159,80,80,634,1151,900,331,61,49,2066,1448,
F:/Proofs/QF_UF/SEQ/SEQ015_size3,11429,1072,377,352,21226,17545,9682,3261,224,203,297236,16650,9676,3259,224,203,257581,16632,10414,3664,236,217,53653,17502,11422,1072,377,353,27098,17538,11422,1072,377,353,27269,17538,10810,3833,188,208,140919,18938,
F:/Proofs/QF_UF/SEQ/SEQ017_size4,1753,221,50,132,7743,2545,1525,375,46,85,5274,2391,1511,369,43,85,4028,2365,1548,389,45,90,1370,2432,1753,221,50,132,1037,2545,1753,221,50,132,1012,2545,1548,389,45,90,1740,2432,
