Proof,Uncompressed.length,Uncompressed.coreSize,Uncompressed.height,Uncompressed.space,Uncompressed.time,Uncompressed.transLength,FCNewNew.length,FCNewNew.coreSize,FCNewNew.height,FCNewNew.space,FCNewNew.time,FCNewNew.transLength,
F:/Proofs/QF_UF/SEQ/SEQ004_size5,253,26,40,26,9281,253,253,26,40,26,1832,253,
F:/Proofs/QF_UF/SEQ/SEQ004_size6,996,48,88,99,1168,996,996,48,88,99,1734,996,
F:/Proofs/QF_UF/SEQ/SEQ005_size6,4597,698,142,318,3323,7259,3846,1031,137,196,13115,6210,
F:/Proofs/QF_UF/SEQ/SEQ005_size7,1038,233,76,83,1249,1490,933,253,81,58,1250,1295,
F:/Proofs/QF_UF/SEQ/SEQ009_size7,224,35,33,13,184,224,224,35,33,13,47,224,
F:/Proofs/QF_UF/SEQ/SEQ009_size8,365,56,35,28,246,425,362,63,38,25,175,414,
F:/Proofs/QF_UF/SEQ/SEQ009_size9,358,54,50,15,324,358,358,54,50,15,111,358,
F:/Proofs/QF_UF/SEQ/SEQ010_size6,3473,480,142,232,2994,5211,2905,821,97,134,14737,4519,
F:/Proofs/QF_UF/SEQ/SEQ010_size7,1836,347,87,158,1205,2708,1753,449,93,121,2408,2609,
F:/Proofs/QF_UF/SEQ/SEQ010_size8,28265,2886,336,1161,53669,44545,25398,6069,314,726,104313,40704,
F:/Proofs/QF_UF/SEQ/SEQ010_size9,35191,3291,348,1435,98592,53093,30843,6739,345,876,157276,48785,
F:/Proofs/QF_UF/SEQ/SEQ011_size2,112,23,23,13,203,112,112,23,23,13,78,112,
F:/Proofs/QF_UF/SEQ/SEQ011_size3,635,95,73,82,1078,635,630,95,73,82,700,630,
F:/Proofs/QF_UF/SEQ/SEQ013_size4,9796,599,141,360,8443,11896,8472,2175,129,189,62086,12742,
F:/Proofs/QF_UF/SEQ/SEQ013_size5,22501,1256,234,559,31869,27053,18606,4383,232,349,126356,26858,
F:/Proofs/QF_UF/SEQ/SEQ015_size2,803,159,80,80,333,1151,717,251,55,41,4036,1129,
F:/Proofs/QF_UF/SEQ/SEQ015_size3,11429,1072,377,352,28885,17545,8716,2892,176,172,292877,15192,
F:/Proofs/QF_UF/SEQ/SEQ017_size4,1753,221,50,132,988,2545,1535,384,42,84,4846,2409,
F:/Proofs/QF_UF/SEQ/SEQ017_size5,378,92,31,30,471,576,303,83,34,26,377,465,
F:/Proofs/QF_UF/SEQ/SEQ018_size6,3490,535,73,225,2368,5180,3161,906,67,126,10937,4787,
F:/Proofs/QF_UF/SEQ/SEQ018_size7,6982,1028,194,479,5337,10654,6376,1772,185,266,21105,9930,
F:/Proofs/QF_UF/SEQ/SEQ019_size4,758,154,53,58,420,1056,610,171,46,43,1432,846,
F:/Proofs/QF_UF/SEQ/SEQ019_size5,952,193,52,83,632,1380,847,245,54,56,1854,1225,
F:/Proofs/QF_UF/SEQ/SEQ020_size2,126,25,32,19,204,126,126,25,32,19,92,126,
F:/Proofs/QF_UF/SEQ/SEQ020_size3,496,82,64,75,1179,496,465,82,64,63,757,465,
F:/Proofs/QF_UF/SEQ/SEQ026_size4,11105,1162,257,376,28691,17713,9964,2887,184,227,267598,16996,
F:/Proofs/QF_UF/SEQ/SEQ026_size5,24988,2595,353,787,172542,41066,
